business_id,country,item_name,accounting_group_name
44186,FR,PAVE DE RUMSTEACK,VIANDE
40566,FR,L'Original,Roll
10695,FR,Schweppes Agrumes,SOFT
9777,FR,VIRGIN MOJITO,Boissons
41013,FR,schweppes agrumes 25cl,Boissons froides
14284,FR,Pizzetta Regina,Pizza
6358,FR,Limo gingembre,Softs
5558,FR,C.VirginMojitoF,Soft
21543,FR,Mojito fraise,Boisson alcoolisé
45658,FR,VIRGIN MOJITO,BAR 10
10370,FR,Whisky 4cl + Soft,Alcool
13660,FR,Formule Manhattan,FORMULES
12954,FR,Virgin Mojito,52.1. Cocktail - Soft
1200,FR,Cocktail Ti-punch Gingembre,26. Cocktails alcools
26606,FR,Verre Whisky,Boissons Alcoolisées
26631,FR,Vodka wybo 4cl,[W] APÉRITIF
6110,FR,Virgin rosato spritz,Boissons
34476,FR,## Coca cola Original,Beverage
43448,FR,Mojito,Cocktail
21593,FR,ORANGINA 25CL,SOFT
15676,FR,Rumsteak Agneau,Cuisine Chaude
45658,FR,MOJITO classique,Alcool Caliente
39756,FR,Mojito,Boissons alcoolisées
39191,FR,WHISKY LAWSON,BAR 20%
13660,FR,Hot Dog - Le Manhattan,HOT DOGS
22800,FR,Gin Gin Mule,Alcools
45169,FR,Negroni Provence,ALCOOL
10341,FR,ORIGINAL BACON MENU,CUISINE 10
41402,FR,Mojito,Alcools
39737,FR,Jack daniel’s,Alcool
42173,FR,Mojito,Apéritifs
12644,FR,Martini Royale,Alcool
42254,FR,Ginette Blanche 50cL,Boissons
3722,FR,Smirnoff Red,Alcohol
36133,FR,Orangina 25cl,Boisson sans alcool
3623,FR,Rhum Plantation Original Dark Shot,Alcool
38152,FR,Mojito Fruit,Alcool
9649,FR,Gin Tonic,Alcool
24302,FR,Martini blanc,Boissons alcoolisées
7763,FR,Orangina,Soft
46889,FR,Rigatoni alla Vodka,Pâtes Daroco 16
3074,FR,NEGRONI,BAR - COCKTAILS
39766,FR,Vodka 4cl + soda,Boissons alcoolisées
38447,FR,Mojito,Cocktail
25948,FR,Coeur de rumsteak,Cuisine chaud
